Date,HomeTeam,AwayTeam,1,X,2,Result
2022-10-19,Man United,Tottenham,2.45,3.5,2.75,1
2022-10-20,Fulham,Aston Villa,2.9,3.3,2.5,1
2022-10-20,Leicester,Leeds,2.25,3.6,3.0,1
2022-10-22,Man City,Brighton,1.2,7.0,13.0,1
2022-10-22,Everton,Crystal Palace,2.6,3.2,2.87,1
2022-10-22,Nott'm Forest,Liverpool,11.0,6.0,1.25,1
2022-10-22,Chelsea,Man United,2.05,3.5,3.5,X
2022-10-23,Southampton,Arsenal,6.0,4.0,1.57,X
2022-10-23,Tottenham,Newcastle,2.05,3.5,3.5,2
2022-10-23,Wolves,Leicester,2.25,3.25,3.25,2
2022-10-23,Aston Villa,Brentford,2.1,3.5,3.5,1
2022-10-23,Leeds,Fulham,2.05,3.5,3.6,2
2022-10-24,West Ham,Bournemouth,1.55,4.0,6.0,1
2022-10-29,Brighton,Chelsea,3.0,3.3,2.4,1
2022-10-29,Bournemouth,Tottenham,5.0,3.8,1.7,2
2022-10-29,Brentford,Wolves,2.2,3.4,3.3,X
2022-10-29,Fulham,Everton,2.37,3.4,3.0,X
2022-10-29,Crystal Palace,Southampton,1.9,3.6,4.0,1
2022-10-29,Liverpool,Leeds,1.3,6.0,9.0,2
2022-10-29,Newcastle,Aston Villa,1.8,3.75,4.5,1
2022-10-29,Leicester,Man City,10.0,6.5,1.25,2
2022-10-30,Arsenal,Nott'm Forest,1.2,7.0,12.0,1
2022-10-30,Man United,West Ham,1.66,4.0,4.8,1
2022-11-05,Leeds,Bournemouth,1.72,3.8,4.75,1
2022-11-05,Man City,Fulham,1.11,9.5,19.0,1
2022-11-05,Nott'm Forest,Brentford,2.75,3.3,2.6,X
2022-11-05,Wolves,Brighton,3.3,3.3,2.25,2
2022-11-05,Everton,Leicester,2.4,3.3,3.0,2
2022-11-06,Tottenham,Liverpool,3.3,3.6,2.1,2
2022-11-06,Aston Villa,Man United,3.3,3.8,2.1,1
2022-11-06,Chelsea,Arsenal,2.55,3.4,2.7,2
2022-11-06,West Ham,Crystal Palace,1.9,3.4,4.2,2
2022-11-06,Southampton,Newcastle,4.0,3.6,1.9,2
2022-11-12,Bournemouth,Everton,2.8,3.25,2.6,1
2022-11-12,Man City,Brentford,1.14,8.0,17.0,2
2022-11-12,Nott'm Forest,Crystal Palace,3.1,3.1,2.45,1
2022-11-12,West Ham,Leicester,2.05,3.4,3.75,2
2022-11-12,Wolves,Arsenal,6.0,4.2,1.55,2
2022-11-12,Liverpool,Southampton,1.25,6.5,11.0,1
2022-11-12,Tottenham,Leeds,1.65,4.2,4.75,1
2022-11-12,Newcastle,Chelsea,2.35,3.4,3.0,1
2022-11-13,Brighton,Aston Villa,1.83,3.75,4.2,2
2022-11-13,Fulham,Man United,3.8,3.8,1.9,2
2022-12-26,Brentford,Tottenham,4.0,3.6,1.91,X
2022-12-26,Crystal Palace,Fulham,2.05,3.6,3.5,2
2022-12-26,Everton,Wolves,2.3,3.25,3.2,2
2022-12-26,Leicester,Newcastle,3.25,3.5,2.2,2
2022-12-26,Southampton,Brighton,3.3,3.5,2.15,2
2022-12-26,Aston Villa,Liverpool,4.75,4.0,1.7,2
2022-12-26,Arsenal,West Ham,1.5,4.33,6.5,1
2022-12-27,Man United,Nott'm Forest,1.29,5.5,11.0,1
2022-12-27,Chelsea,Bournemouth,1.3,5.5,10.0,1
2022-12-28,Leeds,Man City,9.5,6.0,1.29,2
2022-12-30,West Ham,Brentford,2.0,3.6,3.6,2
2022-12-30,Liverpool,Leicester,1.29,6.0,9.5,1
2022-12-31,Brighton,Arsenal,3.4,3.5,2.1,2
2022-12-31,Wolves,Man United,4.0,3.6,1.91,2
2022-12-31,Bournemouth,Crystal Palace,2.8,3.3,2.5,2
2022-12-31,Fulham,Southampton,1.95,3.6,3.75,1
2022-12-31,Man City,Everton,1.13,9.0,19.0,X
2022-12-31,Newcastle,Leeds,1.45,4.5,7.0,X
2023-01-01,Nott'm Forest,Chelsea,5.0,3.8,1.7,X
2023-01-01,Tottenham,Aston Villa,1.67,4.0,5.0,2
2023-01-02,Brentford,Liverpool,5.5,4.33,1.55,1
2023-01-03,Arsenal,Newcastle,1.8,3.8,4.33,X
2023-01-03,Everton,Brighton,3.5,3.5,2.1,2
2023-01-03,Leicester,Fulham,2.2,3.6,3.1,2
2023-01-03,Man United,Bournemouth,1.29,5.5,11.0,1
2023-01-04,Southampton,Nott'm Forest,2.0,3.5,3.8,2
2023-01-04,Leeds,West Ham,2.6,3.5,2.6,X
2023-01-04,Aston Villa,Wolves,1.95,3.6,4.0,X
2023-01-04,Crystal Palace,Tottenham,3.4,3.5,2.15,2
2023-01-05,Chelsea,Man City,5.0,4.0,1.67,2
2023-01-12,Fulham,Chelsea,3.3,3.5,2.15,1
2023-01-13,Aston Villa,Leeds,1.91,3.6,4.0,1
2023-01-14,Brighton,Liverpool,3.4,3.6,2.1,1
2023-01-14,Everton,Southampton,2.25,3.25,3.3,2
2023-01-14,Nott'm Forest,Leicester,2.7,3.3,2.63,1
2023-01-14,Wolves,West Ham,2.63,3.3,2.7,1
2023-01-14,Brentford,Bournemouth,1.65,4.0,5.25,1
2023-01-14,Man United,Man City,4.2,3.6,1.85,1
2023-01-15,Chelsea,Crystal Palace,1.62,4.0,5.25,1
2023-01-15,Newcastle,Fulham,1.5,4.33,6.5,1
2023-01-15,Tottenham,Arsenal,3.1,3.6,2.2,2
2023-01-18,Crystal Palace,Man United,4.5,3.6,1.8,X
2023-01-19,Man City,Tottenham,1.36,5.0,8.5,1
2023-01-21,West Ham,Everton,1.8,3.75,4.75,1
2023-01-21,Leicester,Brighton,3.6,3.5,2.05,X
2023-01-21,Bournemouth,Nott'm Forest,2.75,3.1,2.75,X
